ID,Paikannimi,Paikanlaji,Kartan numero,Kerääjän karttanumero,X,Y,Pistesij.viite,Pitäjä,Kerääjä,Vuosi,Aakkonen,Kuvatiedosto,Jatko,PEX,Muut nimet,Todellinen pitäjä,KarttaID,X_euref,Y_euref,HuomioKotus,Kokoelma,Kuvalinkki,RerSer,Emolippu,wgs84_long,wgs84_lat
1,Aadam-Pessi,talo,,,98,27,11,Aitolahti,"Mäkelä, Matti",1969,A,00000001_F.jpg,,,,,1491,338488.322163645,6828056.6465099,,KotusNA1,\\tiedostot.ds.kotus.fi\digiwork2\nadigi\GRANON LOPULLISET DIGITOINNIT\0004_AHVENANMAA-AITOLAHTI-AKAA\JPG\Aitolahti\A\kotus-201214_0004_AHVENANMAA-AITOLAHTI-AKAA_JPG_Aitolahti_A_00000001_F.jpg,5543,,23.9601187104,61.552125693
1,Aadaminala,pelto,114211,,18,58,2,Ahlainen,"Miikkulainen, Raija",1986,A,00000001_F.jpg,,,,,1483,218324.642718013,6856056.45308826,,KotusNA1,\\tiedostot.ds.kotus.fi\digiwork2\nadigi\GRANON LOPULLISET DIGITOINNIT\0001_AHLAINEN\JPG\Ahlainen\A\kotus-201214_0001_AHLAINEN_00000001_F.jpg,1,,21.6644357604,61.7335058754
1,Aakala,talo,,,,,,Akaa,"Linkoaho, Sirkka",1950,A,00000001_F.jpg,,,,,0,-1,-1,,KotusNA1,\\tiedostot.ds.kotus.fi\digiwork2\nadigi\GRANON LOPULLISET DIGITOINNIT\0004_AHVENANMAA-AITOLAHTI-AKAA\JPG\Akaa\A\kotus-201214_0004_AHVENANMAA-AITOLAHTI-AKAA_JPG_Akaa_A_00000001_F.jpg,6694,,-1,-1
2,Aakala,,,,,,,Akaa,"Linkoaho, Sirkka",1950,A,00000002_B.jpg,J,,,,0,-1,-1,,KotusNA1,\\tiedostot.ds.kotus.fi\digiwork2\nadigi\GRANON LOPULLISET DIGITOINNIT\0004_AHVENANMAA-AITOLAHTI-AKAA\JPG\Akaa\A\kotus-201214_0004_AHVENANMAA-AITOLAHTI-AKAA_JPG_Akaa_A_00000002_B.jpg,6695,6694,-1,-1
2,Aallon Ryssä,H,,,,,,Ahlainen,"Peltola, Satu-Liisa",1966,A,00000002_F.jpg,,,,,0,-1,-1,,KotusNA1,\\tiedostot.ds.kotus.fi\digiwork2\nadigi\GRANON LOPULLISET DIGITOINNIT\0001_AHLAINEN\JPG\Ahlainen\A\kotus-201214_0001_AHLAINEN_00000002_F.jpg,2,,-1,-1
3,Aalto,tila,114211,,16,55,,Ahlainen,"Miikkulainen, Raija",1986,A,00000003_F.jpg,,,,,1483,216443.620113716,6852624.66448322,,KotusNA1,\\tiedostot.ds.kotus.fi\digiwork2\nadigi\GRANON LOPULLISET DIGITOINNIT\0001_AHLAINEN\JPG\Ahlainen\A\kotus-201214_0001_AHLAINEN_00000003_F.jpg,3,,21.6343381154,61.7014465171
5,Aalto,,114211,,15,55,,Ahlainen,"Miikkulainen, Raija",1986,A,00000005_F.jpg,,,,,1483,215444.021401131,6852624.6600225,,KotusNA1,\\tiedostot.ds.kotus.fi\digiwork2\nadigi\GRANON LOPULLISET DIGITOINNIT\0001_AHLAINEN\JPG\Ahlainen\A\kotus-201214_0001_AHLAINEN_00000005_F.jpg,4,,21.615521581,61.7007063554
6,Aaltonen,tila,114208+114205,,9,55,4,Ahlainen,"Miikkulainen, Raija",1986,A,00000006_F.jpg,,,,,1482,209055.781851094,6852740.87596015,,KotusNA1,\\tiedostot.ds.kotus.fi\digiwork2\nadigi\GRANON LOPULLISET DIGITOINNIT\0001_AHLAINEN\JPG\Ahlainen\A\kotus-201214_0001_AHLAINEN_00000006_F.jpg,5,,21.4951077636,61.6969539621
7,Aaltonen,,V:3/11,I,7,I,,Ahlainen,"Vasama, Marjatta",1963,A,00000007_F.jpg,,,,,1457,213742.767286772,6855157.77099646,,KotusNA1,\\tiedostot.ds.kotus.fi\digiwork2\nadigi\GRANON LOPULLISET DIGITOINNIT\0001_AHLAINEN\JPG\Ahlainen\A\kotus-201214_0001_AHLAINEN_00000007_F.jpg,6,,21.5795156598,61.7220787798
8,Aaltonen,asumus,114207+114204,,8,48,7,Ahlainen,"Miikkulainen, Raija",1974,A,00000008_F.jpg,,,,,1477,208880.8775985,6846055.99603955,,KotusNA1,\\tiedostot.ds.kotus.fi\digiwork2\nadigi\GRANON LOPULLISET DIGITOINNIT\0001_AHLAINEN\JPG\Ahlainen\A\kotus-201214_0001_AHLAINEN_00000008_F.jpg,7,,21.5024732579,61.6370876701
