wiki_id,kotus_id,place_name,place_type,name_type,parish,lat,long,precision,collector,collection_year,collection
Q5003698,1849,Kraakunmarjakallio,kari,paikannimi,Ahlainen,61.676158991,21.548165856,Kerääjä on sijoittanut merkinnän tähän pisteeseen.,"Miikkulainen, Raija",1986,1-kokoelma
Q5010268,5158,Vehkalakso,suo,paikannimi,Ahlainen,61.631441355,21.684305122,Paikka sijaitsee keruukartalla tämän karttaruudun alueella.,"Norrbacka, Hilkka",1977,1-kokoelma
Q5003047,1521,Kirkkoniittu,pelto,paikannimi,Ahlainen,61.631441355,21.684305122,Paikka sijaitsee keruukartalla tämän karttaruudun alueella.,"Norrbacka, Hilkka",1977,1-kokoelma
Q5003537,1768,Korvenoja,oja,paikannimi,Ahlainen,61.631441355,21.684305122,Paikka sijaitsee useiden karttaruutujen alueella. Tämä piste on ensimmäisessä ruudussa.,"Norrbacka, Hilkka",1977,1-kokoelma
Q5006482,3254,Peräkorpi,pelto,paikannimi,Ahlainen,61.631441355,21.684305122,Paikka sijaitsee keruukartalla tämän karttaruudun alueella.,"Norrbacka, Hilkka",1977,1-kokoelma
Q5010955,5503,Björkö,kylä,paikannimi,Ahvenanmaa,60.327005012,20.918680388,Kerääjä on sijoittanut merkinnän tähän pisteeseen.,"Pitkänen, Ritva Liisa",1982,1-kokoelma
Q5001036,512,Grägly,saari,paikannimi,Ahlainen,61.686295456,21.578607498,Paikka sijaitsee keruukartalla tämän karttaruudun alueella.,"Vasama, Marjatta",1963,1-kokoelma
Q5010282,5165,Veneranta,ranta,paikannimi,Ahlainen,61.686295456,21.578607498,Paikka sijaitsee keruukartalla tämän karttaruudun alueella.,"Vasama, Marjatta",1963,1-kokoelma
Q5001072,530,Grönlund,asunto,paikannimi,Ahlainen,61.686295456,21.578607498,Paikka sijaitsee keruukartalla tämän karttaruudun alueella.,"Vasama, Marjatta",1963,1-kokoelma
Q5001095,542,Grönvall,asumus,paikannimi,Ahlainen,61.686295456,21.578607498,Paikka sijaitsee keruukartalla tämän karttaruudun alueella.,"Vasama, Marjatta",1963,1-kokoelma
Q5005811,2916,Nierholma,maa-alue,paikannimi,Ahlainen,61.686295456,21.578607498,Paikka sijaitsee keruukartalla tämän karttaruudun alueella.,"Vasama, Marjatta",1963,1-kokoelma
Q5010424,5236,Viikipelto,pelto,paikannimi,Ahlainen,61.686295456,21.578607498,Paikka sijaitsee useiden karttaruutujen alueella. Tämä piste on ensimmäisessä ruudussa.,"Vasama, Marjatta",1962,1-kokoelma
Q5003951,1977,Kuraviiki,vesijättömaa,paikannimi,Ahlainen,61.686295456,21.578607498,Paikka sijaitsee keruukartalla tämän karttaruudun alueella.,"Vasama, Marjatta",1963,1-kokoelma
Q5002306,1150,Jokisalo,tila,paikannimi,Ahlainen,61.686295456,21.578607498,Paikka sijaitsee keruukartalla tämän karttaruudun alueella.,"Vasama, Marjatta",1963,1-kokoelma
Q5002316,1155,Josholma,torppa,paikannimi,Ahlainen,61.686295456,21.578607498,Paikka sijaitsee keruukartalla tämän karttaruudun alueella.,"Vasama, Marjatta",1963,1-kokoelma
Q5007544,3788,Rantapelto,pelto,paikannimi,Ahlainen,61.686295456,21.578607498,Paikka sijaitsee keruukartalla tämän karttaruudun alueella.,"Vasama, Marjatta",1963,1-kokoelma
