Paikanlajiteema_id,Paikanlajiteema,Paikanlajiryhmä_id,Paikanlajiryhmä,Paikanlajialaryhmä_id,Paikanlajialaryhmä,Paikanlaji_id,Paikanlaji,Paikanlajin_kuvaus
1,Maastokohteet,,,,,,,
,,101,Pinnanmuodot,,,,,
,,,,10101,Rannanmuodot,,,
,,,,,,1010105,Saari- tai luotoryhmä,Kahden tai useamman saaren tai luodon muodostama ryhmä.
,,,,,,1010110,Saari tai luoto,"Veden kokonaan tai melkein kokonaan ympäröimä maa-alue meressä, järvessä tai joessa."
,,,,,,1010115,Vesikivi tai -kivikko,Vedessä oleva kivi tai kivikko; vedenpäällinen tai vedenalainen kari.
,,,,,,1010120,Niemi,"Meren-, järven- tai joenrannan ulkonema."
,,,,,,1010125,Kannas,Kahden veden tai suon välinen yleensä kulkukelpoinen maakaistale.
,,,,,,1010130,Ranta-alue,Ominaisuuksiltaan tai käytöltään erityinen rantamaa-alue.
,,,,10102,Kohoumat,,,
,,,,,,1010205,Kohoumaryhmä,Kahden tai useamman kohouman muodostama ryhmä.
,,,,,,1010210,Kohouma,"Ympäristöään korkeammalla oleva maaston kohta tai alue; tunturi, vaara, mäki, harju tms."
,,,,10103,Painanteet,,,
,,,,,,1010305,Painanne,"Ympäristöään matalammalla oleva maaston kohta tai alue; laakso, sola, rotko, kuru tms. "
,,,,10104,Vedenalaiset pinnanmuodot,,,
,,,,,,1010405,Matalikko,Vedenalaisen maapohjan kohouma; ympäristöään matalamman veden kohta meressä tai järvessä.
,,,,,,1010410,Syvänne,Vedenalaisen maapohjan painanne; ympäristöään syvemmän veden kohta meressä tai järvessä.
,,102,Maastoalueet,,,,,
,,,,10201,Metsäalueet,,,
,,,,,,1020105,Metsäalue,Laajahko tai ympäristöstään erottuva varttuneita puita usein suhteellisen tiheässä kasvava alue.
,,,,10202,Kosteikot,,,
,,,,,,1020205,Suo tai kosteikko,Vetinen tai kostea suokasveja kasvava maa-alue; kostea notkelma tai muu maastokohta.
,,,,10203,Pellot,,,
,,,,,,1020305,Pelto,Hyötykasvien viljelyä varten muokattu laajahko maa-alue.
,,,,10204,Matalan kasvillisuuden alueet,,,
,,,,,,1020405,Niitty tai laidun,"Puuton tai lähes puuton, ruohoa ja heinää kasvava maa-alue; alue, jossa kotieläimet laiduntavat."
,,,,,,1020410,Pensaikko tai varvikko,"Pensas- tai varpukasveja kasvava maa-alue, erityisesti Lapissa."
,,,,10205,Louhikot ja kivikot,,,
,,,,,,1020505,Louhikko tai kivikko,Kivenlohkareiden tai kivien peittämä maa-alue.
,,103,Maaston yksityiskohdat,,,,,
,,,,10301,Maaston yksityiskohdat,,,
,,,,,,1030105,Kivi,Poikkeuksellisen suuri tai muuten huomattava kivenlohkare maalla.
,,,,,,1030110,Puu,"Harvinainen, poikkeuksellisen suuri tai muuten huomiota herättävä puu."
,,199,Muut maastopaikat,,,,,
,,,,19999,Muut maastopaikat,,,
,,,,,,1999905,Hävinnyt asuinpaikka,Hävinneen talon tai kylän mukaan nimensä saanut maastopaikka.
,,,,,,1999999,Muu maastopaikka,"Muihin paikanlajeihin kuulumaton maastopaikka; luola, hiidenkirnu tms.; tervahauta"
2,Vesistökohteet,,,,,,,
,,201,Vesialueet,,,,,
,,,,20101,Merialueet,,,
,,,,,,2010105,Itämeri ja sen pääosa-alueet,"Itämeri; Suomenlahti, Saaristomeri, Ahvenanmeri, Ahvenanrauma, Pohjanlahti, Selkämeri, Merenkurkku, Perämeri."
,,,,,,2010110,Merialueen osa,"Itämeren pääosa-alueen osa; meren selkä, salmi, lahti tms."
,,,,20102,Sisävesialueet,,,
,,,,,,2010205,Järvi- tai lampiryhmä,Kahden tai useamman järven tai lammen muodostama ryhmä.
,,,,,,2010210,Järvi tai lampi,Vedenkorkeudeltaan yhtenäinen makean veden luonnonallas.
,,,,,,2010215,Järven osa,"Järven tai lammen osa-alue, selkä, salmi, lahti tms."
,,,,,,2010220,Tekojärvi tai -lampi,Ihmisen rakentama tai ihmisen muun toiminnan tuloksena syntynyt makean veden allas.
